Empresa	Continente	Setor	NºEmpregados	Receita milhoes	Lucros milhoes	Total ativos milhoes
China National Offshore Oil	Ásia	Energy	82	141731	14559	225842
Valero Energy	América do Norte	Energy	9897	139001	8835	63056
Shandong Energy Group	Ásia	Energy	214409	122383	829	141176
China Southern Power Grid	Ásia	Energy	268471	118813	2342	173039
Uniper	Europa	Energy	6863	116662	6819	60703
China Energy Investment	Ásia	Energy	309037	112048	6339	294883
Reliance Industries	Ásia	Energy	347000	108877	8412	210698
Rosneft Oil	Europa	Energy	323	107543	14870	209569
Equinor	Europa	Energy	23449	107174	11885	143580
Enel	Europa	Energy	61055	103311	3716	215621
ENI	Europa	Energy	33142	102501	5157	157506
Petrobras	América Latina	Energy	46	102409	24884	217067
SK	Ásia	Energy	114	101968	-594	159770
E.ON	Europa	Energy	72242	101280	558	125365
Gazprom	Europa	Energy	492	100252	7383	320303
Pemex	América Latina	Energy	128616	96978	457	136067
Indian Oil	Ásia	Energy	31942	94273	5042	57878
PTT	Ásia	Energy	30772	90418	3221	100741
Engie	Europa	Energy	97297	89257	2387	214976
Orlen	Europa	Energy	66554	88717	4921	67205
ENEOS Holdings	Ásia	Energy	50269	79020	1993	67031
Energy Transfer	América do Norte	Energy	13786	78586	3935	113698
Pertamina	Ásia	Energy	40415	75787	4441	91123
Petronas	Ásia	Energy	54105	75409	16320	168475
Lukoil	Europa	Energy	107596	75012	13551	95935
Shaanxi Coal & Chemical Industry	Ásia	Energy	140142	74776	1113	100857
Oil & Natural Gas	Ásia	Energy	36549	71466	5947	85215
Koc Holding	Ásia	Energy	119306	67482	3037	96811
Korea Electric Power	Ásia	Energy	48696	66977	3692	185048
Jinneng Holding Group	Ásia	Energy	439051	63639	993	159091
ConocoPhillips	América do Norte	Energy	9900	58574	10957	95924
China Huaneng Group	Ásia	Energy	124623	57890	1632	219905
Repsol	Europa	Energy	23943	56980	3424	68072
State Power Investment	Ásia	Energy	127514	54484	1615	247045
Bharat Petroleum	Ásia	Energy	8511	54413	3245	24287
Rio Tinto Group	Oceania	Energy	57174	54041	10058	103549
BHP Group	Oceania	Energy	42319	53817	12921	101296
Iberdrola	Europa	Energy	41448	53334	5192	165709
Idemitsu Kosan	Ásia	Energy	16571	53042	1581	33145
Shaanxi Yanchang Petroleum (Group)	Ásia	Energy	130427	51525	997	68398
Enterprise Products Partners	América do Norte	Energy	7500	49715	5532	70982
Veolia Environnement	Europa	Energy	218288	49027	1013	80148
Plains GP Holdings	América do Norte	Energy	4200	48712	198	28597
Energie Baden-Wurttemberg	Europa	Energy	26943	48032	1662	71481
Tokyo Electric Power	Ásia	Energy	38183	47868	1853	96518
World Kinect	América do Norte	Energy	5289	47710	52	7375
HD Hyundai	Ásia	Energy	34097	46959	202	52479
China Huadian	Ásia	Energy	93459	45534	1909	154660
Raizen	América Latina	Energy	45417	44694	105	25558
OMV Group	Europa	Energy	20592	42661	1677	55956
Vale	América Latina	Energy	66807	41784	7983	94186
China National Nuclear	Ásia	Energy	182	39632	1297	188569
Cenovus Energy	América do Norte	Energy	6925	38689	3045	40894
PBF Energy	América do Norte	Energy	3776	38324	2140	14387
Suncor Energy	América do Norte	Energy	14906	37609	6147	67156
GS Caltex	Ásia	Energy	3268	37216	882	18775
China Datang	Ásia	Energy	87991	36266	332	122382
CFE	América Latina	Energy	92054	36077	5481	137339
China National Coal Group	Ásia	Energy	144531	35364	2154	73994
Korea Gas	Ásia	Energy	4163	34114	-582	44197
CPC	Ásia	Energy	17142	33903	-656	34350
Tongwei Group	Ásia	Energy	58329	33731	593	25094
Shanxi Coking Coal Group	Ásia	Energy	214937	33533	1252	73316
Siemens Energy	Europa	Energy	94000	33184	4832	50695
Schlumberger	América do Norte	Energy	111000	33135	4203	47957
Ecopetrol	América Latina	Energy	19657	33126	4872	72404
Centrica	Europa	Energy	21014	32882	4883	27231
Vibra Energia	América Latina	Energy	3526	32634	954	8961
Enbridge	América do Norte	Energy	12450	32349	4588	136769
